alpha,Energy
127,15.438476851106717
128,15.43683211902988
129,15.435146238066398
130,15.433466039083962
131,15.431777806489098
132,15.430096299996695
133,15.428436462460386
134,15.426801495612855
135,15.425201841895381
136,15.42360071837128
137,15.42206232582569
138,15.420518723766671
139,15.418996371464237
140,15.41749627196174
141,15.416029569987957
142,15.414568408154338
143,15.413123795058576
144,15.411682544766794
145,15.410275864888758
146,15.40889663502353
147,15.407538487670566
148,15.406198283798917
149,15.404882425933978
150,15.40358238952212
151,15.402280653283375
152,15.401019709501949
153,15.399766846790003
154,15.398533968243871
155,15.39731434828404
156,15.396095842916512
157,15.394904787110356
158,15.393725465244913
159,15.392565873058063
160,15.391410069290714
161,15.390346953913463
162,15.389289133405004
163,15.388249457778779
164,15.38711946428672
165,15.385983364140014
166,15.384850446608889
167,15.38372223724552
168,15.382609302655608
169,15.381484065401146
170,15.380372180813495
171,15.379258474974343
172,15.378222024733576
173,15.377197741901155
174,15.376134516726118
175,15.375071111562935
176,15.37402787441369
177,15.372993850402894
178,15.371970114775856
179,15.370932624448791
180,15.369902239311052
181,15.368863577411307
182,15.367833489804283
183,15.366817144500896
184,15.36580516001813
185,15.36480856252531
186,15.363835769475196
187,15.36287273684063
188,15.361917812951695
189,15.360982449225984
190,15.360065449237194
191,15.35916334958293
192,15.358272157887631
193,15.357392611850388
194,15.356510628567468
195,15.355638342105483
196,15.35475959534114
197,15.353874227283232
198,15.35300078755366
199,15.35214084207684
200,15.351286179549545
201,15.350433754575743
202,15.349587103093377
203,15.348746569627636
204,15.347911952959024
205,15.347095369501405
206,15.346290203317686
207,15.345513553115119
208,15.344765411049567
209,15.344023366362155
210,15.343308418053466
211,15.342602521314127
212,15.34190949348934
213,15.341216406488813
214,15.340527492124822
215,15.339833411480493
216,15.33915361285495
217,15.33847608266914
218,15.33780101484146
219,15.337134068161992
220,15.336471702416283
221,15.335814668715543
222,15.335181321173302
223,15.33455576804752
224,15.333937288844295
225,15.333322659426559
226,15.332710859133405
227,15.332095533552627
228,15.331490462562117
229,15.330894731741697
230,15.33030429717077
231,15.329708982155347
232,15.329131511063393
233,15.328575969518804
234,15.328031295267404
235,15.327497476259671
236,15.32696032148947
237,15.32643061553743
238,15.325902037636332
239,15.325382920221196
240,15.324875160217795
241,15.324374619570813
242,15.32389470164552
243,15.323407249771897
244,15.322937213829613
245,15.322474940441543
246,15.322017362357627
247,15.321572745905103
248,15.321135897671544
249,15.32070178771846
