alpha,Energy
656,15.228345603165037
657,15.228237825600862
658,15.228128624063487
659,15.228020205489479
660,15.227910943016594
661,15.227797592779073
662,15.2276845849894
663,15.227573305453891
664,15.227461882315305
665,15.227348509682754
666,15.22723547750856
667,15.227123616149896
668,15.227013341181404
669,15.226903395883967
670,15.22679377878145
671,15.226684661527017
672,15.226575869026316
673,15.226467107820943
674,15.226349108423559
675,15.22623098564919
676,15.226109575387449
677,15.225988523797087
678,15.225861976294292
679,15.225737404271152
680,15.225613198636315
681,15.225489531073151
682,15.225370228329874
683,15.225251999467448
684,15.22513411630345
685,15.225016475634915
686,15.22489917794209
687,15.224782221727265
688,15.224658533654315
689,15.224535134075595
690,15.224413064614799
691,15.224289842859866
692,15.224166977237173
693,15.224046339302676
694,15.223929144831715
695,15.223812917557588
696,15.223695055612179
697,15.223577868801499
698,15.22347236862528
699,15.223362006368394
700,15.223250377039305
701,15.223139066196177
702,15.223024521716786
703,15.222905573692847
704,15.222785321742306
705,15.222676359497857
706,15.22256720473117
707,15.22245608304344
708,15.222345324370579
709,15.222232773595648
710,15.22211915844537
711,15.22200586288764
712,15.221897976884044
713,15.22178288385265
714,15.221693006963816
715,15.221602128392972
716,15.221511503672884
717,15.221422131396883
718,15.22131763910036
719,15.22122523624462
720,15.221132942145454
721,15.221040027442971
722,15.220946212642694
723,15.220836066466305
724,15.220726681028834
725,15.220613716256324
726,15.2205032980675
727,15.220388284855247
728,15.220272916518526
729,15.220159582673418
730,15.22004206625158
731,15.219919459183007
732,15.219798434039676
733,15.219677739115015
734,15.21955737305936
735,15.219433002903392
736,15.219311205478258
737,15.219189738575308
738,15.219071280898815
739,15.218953143811433
740,15.218834435708507
741,15.218716877889253
742,15.218599391378042
743,15.218474886384024
744,15.21835311140029
745,15.218232559722642
746,15.218113457253775
747,15.217996218812775
748,15.21787781423943
749,15.217763950262077
750,15.21764976521501
751,15.217532206599206
752,15.217409790977955
753,15.217285055026247
754,15.217162579381311
755,15.217036257873934
756,15.216910270550438
757,15.216784869162014
758,15.216661090852996
759,15.216538087849486
760,15.216416935832717
761,15.216291779540732
762,15.216168513978463
763,15.216044984597232
764,15.215920493975137
765,15.21579492443796
766,15.215671526766396
767,15.215547587597827
768,15.215425019967341
769,15.215302771108327
770,15.215179700467328
771,15.215056949075723
772,15.214934515692905
773,15.214811637762281
774,15.21469240827921
775,15.214572649395146
776,15.214456204532365
777,15.214338951940114
